platform,start_date,sale_name,period,category
楽天市場,2024-06-04,楽天スーパーSALE,2024-06-04 20:00 – 2024-06-11 01:59,全商品
楽天市場,2024-09-04,楽天スーパーSALE,2024-09-04 20:00 – 2024-09-11 01:59,全商品
楽天市場,2024-11-22,楽天ブラックフライデー,2024-11-21 20:00 – 2024-11-27 01:59,全商品
楽天市場,2024-12-19,楽天大感謝祭,2024-12-19 20:00 – 2024-12-26 01:59,全商品 
楽天市場,2025-03-04,楽天スーパーSALE,2025-03-04 20:00 – 2025-03-11 01:59,全商品
Yahoo!ショッピング,2024-04-14,ストアラリー（買い回りキャンペーン）,"2024-04-14～2024-04-18","購入ストア数に応じポイント+1%ずつ加算（最大+9%） ※要エントリー・各注文1,000円以上・付与上限7,000円相当"
Yahoo!ショッピング,2024-06-05,ストアラリー（買い回りキャンペーン）,"2024-06-05～2024-06-08","条件は上記と同じ"
Yahoo!ショッピング,2024-07-01,超PayPay祭（夏の超ペイペイ祭）,"2024-07-01～2024-07-21","最終2日間達成で最大23.5%還元・LINE連携+5%・プレミアム会員+2%・タイムセール最大70%OFF"
Yahoo!ショッピング,2024-08-15,ストアラリー（買い回りキャンペーン）,"2024-08-15～2024-08-17","購入ストア数に応じポイント最大+9%還元"
Yahoo!ショッピング,2024-10-15,ストアラリー（買い回りキャンペーン）,"2024-10-15～2024-10-17","購入ストア数に応じポイント最大+9%還元"
Yahoo!ショッピング,2024-11-01,ヤフービッグボーナス,"2024-11-01～2024-11-17","11/16–17条件達成で最大23.5%還元・半額セール約800点"
Yahoo!ショッピング,2024-11-28,ブラックフライデーセール,"2024-11-28～2024-11-30","ボーナスストアPlus毎日+3%・50%OFFクーポンくじ・1注文3,000円以上"
Yahoo!ショッピング,2024-12-02,超PayPay祭（年末超ペイペイ祭）,"2024-12-02～2024-12-23","最終2日間で最大23.5%還元・最大70%OFF 2日間セール・初利用最大50%OFFクーポン"
Yahoo!ショッピング,2025-03-01,超PayPay祭（春の超ペイペイ祭）,"2025-03-01～2025-03-31","条件達成で最大23.5%前後還元・PayPayスクラッチくじ併催"
ヤフオク!,2024-04-01,ひさしぶり出品キャンペーン,"2024-04-01～2024-04-30","エントリー後の出品で抽選PayPayポイント付与（久々出品者向け）"
ヤフオク!,2024-04-08,落札システム利用料最大50%還元,"2024-04-08～2024-04-21","出品→落札で誰でも30%還元・プレミアム会員+20%＝最大50% ※要エントリー"
ヤフオク!,2024-05-01,出品デビューキャンペーン,"2024-05-01～2024-05-31","初出品で抽選PayPayポイント付与（出品者向け）"
ヤフオク!,2024-06-21,PayPayスクラッチくじ（夏の超PayPay祭）,"2024-06-21～2024-08-09","200円以上のPayPay決済でスクラッチカード配布・約4回に1回当たり"
ヤフオク!,2024-10-15,出品スクラッチ（秋の出品キャンペーン）,"出品:2024-10-15～2024-11-11 / スクラッチ:2024-12-06～2024-12-16","600円以上出品でスクラッチ券→最大1,000円相当PayPayポイント"
ヤフオク!,2024-11-04,いい買物の日キャンペーン,"2024-11-04～2024-11-11","毎日スクラッチくじ・4点以上入札でポイント山分け・5日・11日は他クーポン併用可"
ヤフオク!,2024-11-28,落札システム利用料最大50%還元,"2024-11-28～2024-12-25","内容は4月キャンペーンと同様（全員30%+プレミアム20%）"
ヤフオク!,2024-12-02,超PayPay祭 全員あたるくじ,"2024-12-02～2025-01-07","アプリで毎日1回くじ・ハズレなしで最大1万円相当PayPayポイント"
ヤフオク!,毎月05/15/25,5のつく日クーポン,"当日限定","アプリ限定5%OFFクーポン（1万円以上、上限1,000円、PayPay決済）"
ヤフオク!,毎月11/22,ゾロ目の日クーポン,"当日限定","アプリ限定5%OFFクーポン（1万円以上、上限1,000円、PayPay決済・取得当日含め3日間有効）"
ヤフオク!,毎週土日,週末限定ゴールドクーポン,"土曜00:00～日曜23:59","LYPプレミアム会員限定10%OFFクーポン（上限500円） ※利用は月曜まで可"

